Report Number,Occurred Date,Occurred Time,Reported Date,Reported Time,Crime Subcategory,Primary Offense Description,Precinct,Sector,Beat,Neighborhood,Zip.Code
2.018E+13,11/26/18,940,11/26/18,1820,THEFT-ALL OTHER,THEFT-OTH,EAST,E,E3,FIRST HILL,98122
2.018E+13,11/29/18,540,11/29/18,2318,THEFT-ALL OTHER,THEFT-OTH,EAST,G,G1,FIRST HILL,98122
2.018E+13,10/12/18,1400,12/3/18,1654,THEFT-ALL OTHER,THEFT-OTH,EAST,E,E2,FIRST HILL,98122
2.018E+13,11/30/18,1200,12/3/18,1909,THEFT-ALL OTHER,THEFT-OTH,EAST,G,G1,FIRST HILL,98122
2.018E+13,12/4/18,1715,12/4/18,1757,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,FIRST HILL,98122
2.018E+13,11/25/18,1945,12/6/18,1529,CAR PROWL,THEFT-CARPROWL,EAST,G,G1,FIRST HILL,98122
2.018E+13,12/6/18,1815,12/7/18,1327,THEFT-ALL OTHER,THEFT-OTH,EAST,G,G1,FIRST HILL,98122
2.018E+13,11/28/18,0,12/10/18,19,THEFT-ALL OTHER,THEFT-OTH,EAST,G,G1,FIRST HILL,98122
2.018E+13,11/27/18,0,12/11/18,1601,THEFT-BUILDING,THEFT-BUILDING,EAST,E,E3,FIRST HILL,98122
2.018E+13,12/4/18,1730,12/13/18,2144,CAR PROWL,THEFT-CARPROWL,EAST,G,G2,FIRST HILL,98122
2.018E+13,12/12/18,1445,12/13/18,2157,CAR PROWL,THEFT-CARPROWL,EAST,G,G1,FIRST HILL,98122
2.018E+13,12/18/18,2130,12/19/18,137,THEFT-BICYCLE,THEFT-BICYCLE,EAST,E,E3,FIRST HILL,98122
2.018E+13,12/20/18,1810,12/20/18,2325,CAR PROWL,THEFT-CARPROWL,EAST,G,G1,FIRST HILL,98122
2.018E+13,12/21/18,655,12/21/18,709,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,FIRST HILL,98122
2.018E+13,12/22/18,1110,12/22/18,1118,THEFT-BUILDING,THEFT-BUILDING,EAST,E,E2,FIRST HILL,98122
2.018E+13,12/21/18,1015,12/26/18,1022,THEFT-ALL OTHER,THEFT-OTH,EAST,E,E3,FIRST HILL,98122
2.018E+13,12/22/18,1011,12/26/18,2001,THEFT-BUILDING,THEFT-BUILDING,EAST,G,G1,FIRST HILL,98122
2.018E+13,12/28/18,1900,12/29/18,823,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,FIRST HILL,98122
2.018E+12,3/13/18,1435,3/14/18,1106,THEFT-SHOPLIFT,THEFT-SHOPLIFT,EAST,E,E2,FIRST HILL,98122
2.018E+12,3/14/18,1420,3/14/18,1420,AGGRAVATED ASSAULT,ASSLT-AGG-WEAPON,EAST,G,G1,FIRST HILL,98122
2.018E+12,3/15/18,930,3/15/18,1001,TRESPASS,TRESPASS,EAST,E,E3,FIRST HILL,98122
2.018E+11,1/6/18,30,1/8/18,1538,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,EAST,G,G1,FIRST HILL,98122
2.018E+12,3/15/18,1649,3/15/18,1649,TRESPASS,TRESPASS,EAST,E,E3,FIRST HILL,98122
2.018E+12,3/15/18,1927,3/15/18,1927,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,FIRST HILL,98122
2.018E+11,1/6/18,0,1/8/18,1648,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,EAST,G,G2,FIRST HILL,98122
2.018E+12,3/15/17,1600,3/16/18,2215,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,FIRST HILL,98122
2.018E+12,3/17/18,252,3/17/18,252,CAR PROWL,THEFT-AUTOACC,EAST,E,E3,FIRST HILL,98122
2.018E+12,3/17/18,330,3/17/18,330,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,EAST,E,E3,FIRST HILL,98122
2.018E+11,1/8/18,1959,1/8/18,2047,TRESPASS,TRESPASS,EAST,E,E3,FIRST HILL,98122
